代號,名稱,成交,25M03單月營收(億),25M04單月營收(億),25M05單月營收(億),25M06單月營收(億),25M07單月營收(億),25M08單月營收(億),25M09單月營收(億),25M10單月營收(億),25M11單月營收(億),25M12單月營收(億),26M01單月營收(億),26M02單月營收(億),26M02單月營收月增(%),26M02單月營收年增(%),最新單季毛利率(%),最新單季毛利率季增數,最新單季營益率(%),最新單季營益率季增數,25Q1單季每股盈餘(元),25Q2單季每股盈餘(元),25Q3單季每股盈餘(元),25Q4單季每股盈餘(元),最新累季每股盈餘(元),最新單季業外損益佔稅前淨利(%),盈餘總分配率,2026合計股利,近5年平均年均PER,24Q1單季營收(億),24Q2單季營收(億),24Q3單季營收(億),24Q4單季營收(億),25Q1單季營收(億),25Q2單季營收(億),25Q3單季營收(億),25Q4單季營收(億),最新季度流動合約負債(億),最新季度流動合約負債季增(%)
1319,東陽,98,25.5,23.4,18,17.5,16.6,18.1,19.3,22,22.2,20.9,21.5,,,,28,-5.03,11.5,-6.09,2.48,0.77,1.11,,4.36,25.7,71.6,,18.8,61.7,61.9,63.2,69.2,72.9,58.9,54,,,
1464,得力,10.95,12.2,10.6,9.48,8.16,9.31,9.84,11.3,11.1,9.34,11.2,10.6,,,,16,-3.77,-0.46,-4.5,0.3,-0.42,0.14,,0.03,128,90.4,,35.8,25.9,27.8,32.3,34.1,34.6,28.2,30.5,,,
1517,利奇,12.05,2.08,2.05,1.44,1.58,1.44,1.45,1.79,1.55,1.57,1.84,1.81,,,,-3.5,-6.72,-24.2,-8.41,0.05,-0.6,-0.11,,-0.66,-491,-47.6,,22.4,3.74,5.11,5.74,5.74,5.52,5.08,4.66,,0.13,-30.5
1522,堤維西,43.55,17,14.4,15.1,13.7,22.3,22.3,24.4,27.8,27.2,28,23.1,,,,25.8,6.16,8.16,6.68,1.39,-1.29,1.07,,1.17,-21.9,63,,15.1,51.2,51.9,47.9,50.3,49.1,43.2,69,,,
1524,耿鼎,29.95,2.88,2.16,1.58,1.61,2.04,2.2,2.12,2.24,2.12,2.72,2.12,,,,21.7,-2.22,10,-0.65,0.98,-0.16,0.46,,1.28,31.6,63.7,,14.5,7.22,6.4,7.35,9.19,7.52,5.35,6.35,,,
1526,日馳,19.6,0.71,0.67,0.61,0.8,0.71,0.59,0.72,0.48,0.53,0.59,0.55,,,,7.86,-11.6,-18.5,-13.7,0.4,-0.52,0.08,,-0.04,677,0,,13.5,1.72,2.12,1.6,1.77,2.01,2.08,2.02,,0.39,-42.8
1537,廣隆,125,5.99,6.32,5.31,5,5.66,5.46,4.93,5.14,5.43,5.57,6.19,,,,18.9,-2.67,10.7,-3.22,2.46,1.24,2.06,,5.76,24.8,89.4,,14.5,17.4,21.1,22,20.8,17.5,16.6,16,,,
1580,新麥,131,4.14,4.65,4.03,3.82,4.27,4.16,4.67,4.11,4.01,4.23,4.3,,,,40.9,-0.45,18.2,-1.12,2.7,2.99,3.68,,9.37,9.3,67.4,,12.5,9.43,12.3,12.4,13.8,10.9,12.5,13.1,,1.82,12.7
1582,信錦,75.2,7.42,7.8,6.84,6.9,7.09,7.13,7.45,7.02,7.24,6.89,8.23,,,,23.3,-0.06,7.95,-1.05,1.05,0.84,1.09,,2.98,28,77.1,,15.3,21.5,25.3,24.7,22.6,22.4,21.5,21.7,,,
1597,直得,81.2,0.87,0.9,0.91,0.91,0.92,0.92,0.96,1.04,1.1,1.2,1.08,,,,38.8,-0.54,9.16,1.66,0.16,0.01,0.34,0.41,0.91,30.4,76.9,0.7,38.4,2.54,2.5,2.8,2.52,2.53,2.72,2.8,3.34,0.02,-38.3
